# Id	IsActive	ProductId	PartNumber	Description	Price	PartLoc	AvailQty	PkgQty	PkgPrice	DSort	CategoryCD	ProdCode
6806aa9d-46ed-45bf-82cb-ec9b8e1c4c8a	1	345af579-40cc-475d-a542-135b332be760	CB603-1	Tester	260.00	Bin:	00000000000	1	0.00	CB603-1-1	tools	CB603
68b03ea2-5309-470c-8490-e10946ecd3eb	1	ad345bad-efab-4732-8771-99502d11ffe1	CS62-1032-24CR	Small base stud	4.21	Bin:	00000000000	1	0.00	0.1900-1032-24CR	studsandstands	CS62
68cf0bd9-f9b4-4bd4-a4f1-5a8cc635bac8	1	0adbd8b8-c345-4a43-a8d1-05e18eb3e5b2	CS125-1428-12GCR	1/4-28 composite base stud	9.12	Bin:	00000000000	1	0.00	0.2500-1428-12GCR	studsandstands	CS125
69f4673a-fde7-4f6e-90c0-e35547cfee2a	1	36bd524f-2023-4599-adf8-84874a8637cd	CN611CR5P	Nutplate, One Lug	10.03	Bin:	00000000000	1	0.00		nutplates	CN611
6a3295a6-aea9-42e6-aced-7cf3f81de598	1	06c00249-eb1c-4052-93d6-74624b4bb17b	CB4021V3N12	3/4" tall - Glass/PEI	14.23	Bin:	00000000000	25	0.00	0.1900V3N12	mounts	CB4021
6b02646d-6bf4-475d-a47f-7186859df528	1	43b8db6f-afa1-4388-acb9-a5f67e316628	CB3000CRA3-14	Stud	9.35	Bin:	00000000000	1	0.00	0.1900CRA3-14	studsandstands	CB3000
6b12197a-45de-4188-928e-ac05dde07d57	1	ad345bad-efab-4732-8771-99502d11ffe1	CS62-440-16CR	Small base stud	9.05	Bin:	00000000000	1	0.00	0.1120-440-16CR	studsandstands	CS62
6b306306-4108-4742-8eb8-dd2acee77859	1	177612db-8c78-492a-ba40-13e6e55d5b5e	CN614CR420PNL	1/4-20 Thread Nutplate, Non-Locking	8.07	Bin:	00000000000	1	0.00	0.2500CR420PNL	nutplates	CN614
6b3a4d43-eb89-44d9-a6b6-dc5b7d253076	1	61c4a463-bdc9-4abf-a0f0-06afa82ce18d	CB602-6-325	Tester	350.00	Bin:	00000000000	1	0.00	0.3750-6-325	tools	CB602
6bcbd928-0c6f-47fb-8b38-aaa42dd29b70	1	0aa42b6d-6dd7-4384-8cb0-4a79a2ca7352	CB4000G3CR32	Stud, composite base	14.64	Bin:	00000000000	1	0.00	0.1900G3CR32	studsandstands	CB4000
6cb41ff8-6880-43a8-bd2b-81a9c81494d9	1	61c4a463-bdc9-4abf-a0f0-06afa82ce18d	CB602-4M-3.25	Tester	350.00	Bin:	00000000000	1	0.00	0.2500-4M-3.25	tools	CB602
6ecf0c69-c396-409c-8736-d9b914594b58	1	9f79ffbd-12f4-4d81-b696-abff729131e6	CB9120V5	Glass/Thermoplastic	3.05	Bin:	00000000000	25	0.00	0.3125V5	mounts	CB9120
6f2adf62-8116-4b4c-abb9-ac1950740c37	1	ee041579-78ac-4b1c-a697-39ef8b536c6f	CB4019G3N750	Cable tie, composite/trimmed base	17.12	Bin:	00000000000	25	0.00		mounts	CB4019
6fecde0f-3f8a-4126-8b5a-039631fce67e	1	0adbd8b8-c345-4a43-a8d1-05e18eb3e5b2	CS125-832-16GCR	Stud, composite base	9.12	Bin:	00000000000	1	0.00	0.1640-832-16GCR	studsandstands	CS125
704f011d-55c2-4378-9e54-a18d0ddece5b	1	ae6f0d7c-08e6-4ec8-849b-bc13e7995b02	CN609CR3PNL	10/32 Thread Nutplate, Non-Locking	5.00	Bin:	00000000000	1	0.00	0.1900CR3PNL	nutplates	CN609
7153259d-32f5-41a0-83cc-b583f079d6a3	1	77dd86b4-748c-445d-9b1b-0f85b1858650	CB9060CR4-8-750	Insert, blind thread	17.27	Bin:	00000000000	1	0.00	0.2500CR4-8-750	bushings	CB9060
71c20561-9e85-4379-a60c-874312aab683	1	0496eac2-0271-4b6a-809e-36b3e29dce5b	CB4002V08CR12	Standoff	8.05	Bin:	00000000000	1	0.00	0.1640V08CR12	studsandstands	CB4002
72714d83-ca59-488f-8c9b-a6b5c386fc04	1	47074ff6-d253-4a94-a714-fabfd3d4dcb8	CB9566CR3-1P	Nutplate-Call for price	0.00	Bin:	00000000000	1	0.00	0.1900CR3-1P	nutplates	CB9566
72ef8fd7-ebc6-424e-bc0c-2ba7423de5e6	1	ad345bad-efab-4732-8771-99502d11ffe1	CS62-632-8CR	Small base stud	4.21	Bin:	00000000000	1	0.00	0.1380-632-8CR	studsandstands	CS62
7306ced7-0f4b-4b90-a250-ee778eb4fa1a	1	96c68434-fb51-4b34-83f2-4647183b06de	CB8008ACR08-2R	Nutplate, One lug, sealed	10.00	Bin:	00000000000	1	0.00	0.1640ACR08-2R	nutplates	CB8008
73321039-1bce-4666-8a40-247d406846e1	1	4d272746-f649-4ac2-b889-d2a3fa1b8605	CB3001CR08-9	Standoff	9.53	Bin:	00000000000	25	0.00		studsandstands	CB3001
73d82e70-552c-40af-aabc-14d94777c140	1	2e53a695-df31-41cd-8d42-aa942fb88fba	CB6011CR4-1	Nutplate	4.43	Bin:	00000000000	1	0.00	0.2500CR4-1	nutplates	CB6011
74508046-3db8-4cbc-b3bc-eb69c6489a2b	1	8b450172-c183-4867-be8a-6cb88c09a5e4	CB5001CR3-12	Standoff	8.50	Bin:	00000000000	1	0.00	0.1900CR3-12	studsandstands	CB5001
745d8400-98db-42a7-9f05-5cda8aab0bac	1	4709e2c0-fc6c-43b5-8916-dd37a6c0f93e	CB7009CR4-6	Nutplate	6.00	Bin:	00000000000	1	0.00	0.2500CR4-6	nutplates	CB7009
75472db3-1a37-4a9a-850e-4fa8cfd8f448	1	8b250134-c490-44a0-b506-2cafea6e68fb	CN125-440-8GCR	Standoff, composite base	5.50	Bin:	00000000000	1	0.00	0.1120-440-8GCR	studsandstands	CN125
755acde4-d81b-4823-bd83-a522d032ab2b	1	61c4a463-bdc9-4abf-a0f0-06afa82ce18d	CB602-7-325	Tester	350.00	Bin:	00000000000	1	0.00	0.4375-7-325	tools	CB602
75906bd6-6fc6-48b4-8069-ef0cfa6283d2	1	1446d5c9-cf7d-4e9a-b2b7-faf6a8e2b881	CB4022V3CR6P	Nutplate, right angle	10.51	Bin:	00000000000	1	0.00	0.1900V3CR6P	mounts	CB4022
76d02e62-174c-445f-8b6f-2e0984c694ba	1	556be060-b68b-4653-aa48-fa3f49aa0859	CN62-832-10CR	Standoff	3.56	Bin:	00000000000	1	0.00	0.1640-832-10CR	studsandstands	CN62
